prix,type_habit,adresse,image_lien
7000,Pantalon Kaki homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3863027_uploaded_image1_1662332898.jpg
6500,Chemise homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3863016_uploaded_image1_1662332496.jpg
13000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3863021_uploaded_image1_1662332625.jpg
13000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3863008_uploaded_image1_1662332143.jpg
13000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3858073_uploaded_image1_1662071919.jpg
7000,Pantalons Kaki,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3858082_uploaded_image1_1662072427.jpg
13000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3858065_uploaded_image1_1662071546.jpg
7000,Jeans homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3858057_uploaded_image1_1662071342.jpg
7000,Chemise homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3858062_uploaded_image1_1662071412.jpg
7000,Joggings homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3890725_uploaded_image1_1663972477.jpg
